label,address,range_width,rebalance,capital_usd,pool_share,days,total_rebalances,total_fees_usd,il_usd,net_pnl_usd,net_pct,fee_apy_pct,days_in_range_pct,realized_vol,sharpe,sortino,max_drawdown
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.2000,true,10000.00,0.000291,151,3,2341.8461,-2347.4525,-5.6064,-0.0561,56.6075,98.01,0.666176,0.085053,0.105046,-0.131505
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.5000,false,10000.00,0.000118,151,0,947.4413,-909.9193,37.5220,0.3752,22.9017,100.00,0.666176,0.154046,0.224695,-0.102536
SOL/USDC,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,0.5000,true,10000.00,0.000118,151,0,947.4413,-909.9193,37.5220,0.3752,22.9017,100.00,0.666176,0.154046,0.224695,-0.102536
JUP/USDC,4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,0.0500,false,10000.00,3.279267,151,0,6148.5754,-97.8136,6050.7617,60.5076,148.6245,19.21,0.935724,3.216177,5.142748,-0.141850
JUP/USDC,4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,0.0500,true,10000.00,3.279267,151,52,6148.5754,-13389.0066,-7240.4312,-72.4043,148.6245,65.56,0.935724,-6.665446,-6.757783,-0.727654
JUP/USDC,4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,0.1000,false,10000.00,1.656988,151,0,3106.8274,-49.3739,3057.4536,30.5745,75.0988,37.75,0.935724,1.857311,2.830690,-0.152250
JUP/USDC,4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,0.1000,true,10000.00,1.656988,151,14,3106.8274,-7135.8358,-4029.0084,-40.2901,75.0988,90.73,0.935724,-3.625060,-3.982834,-0.403090
JUP/USDC,4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,0.2000,false,10000.00,0.840049,151,0,1575.0801,-25.0463,1550.0338,15.5003,38.0731,75.50,0.935724,1.173420,1.808277,-0.140857
JUP/USDC,4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,0.2000,true,10000.00,0.840049,151,6,1575.0801,-4240.6372,-2665.5571,-26.6556,38.0731,96.03,0.935724,-2.786527,-3.076460,-0.309691
JUP/USDC,4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,0.5000,false,10000.00,0.339857,151,0,637.2266,-10.1015,627.1251,6.2713,15.4032,100.00,0.935724,1.016368,1.567920,-0.068614
JUP/USDC,4Ui9QdDNuUaAGqCPcDSp191QrixLzQiLxJ1Gnqvz3szP,0.5000,true,10000.00,0.339857,151,0,637.2266,-10.1015,627.1251,6.2713,15.4032,100.00,0.935724,1.016368,1.567920,-0.068614
ZEC/USDC,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,0.0500,false,10000.00,0.030713,151,0,10236.5773,-284.6459,9951.9314,99.5193,247.4404,9.27,1.349414,2.940064,5.188428,-0.339698
ZEC/USDC,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,0.0500,true,10000.00,0.030713,151,64,10236.5773,-24372.1204,-14135.5431,-141.3554,247.4404,57.62,1.349414,-0.147798,-0.224682,-1.450275
ZEC/USDC,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,0.1000,false,10000.00,0.015427,151,0,5141.6629,-172.1800,4969.4829,49.6948,124.2852,15.89,1.349414,1.716388,2.937150,-0.385887
ZEC/USDC,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,0.1000,true,10000.00,0.015427,151,34,5141.6629,-17497.8959,-12356.2330,-123.5623,124.2852,77.48,1.349414,1.494431,6.656387,-1.277726
ZEC/USDC,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,0.2000,false,10000.00,0.007791,151,0,2596.7646,-87.6017,2509.1629,25.0916,62.7695,22.52,1.349414,1.080027,1.822143,-0.402063
ZEC/USDC,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,0.2000,true,10000.00,0.007791,151,14,2596.7646,-12630.8516,-10034.0870,-100.3409,62.7695,90.73,1.349414,1.349599,5.423356,-1.003986
ZEC/USDC,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,0.5000,false,10000.00,0.003161,151,0,1053.5652,-35.6312,1017.9340,10.1793,25.4670,64.24,1.349414,0.674893,1.136755,-0.359506
ZEC/USDC,GTHKH8s82ZR8GTSFZ1dUu6wfdxhy59wpMShxzG5zjiPm,0.5000,true,10000.00,0.003161,151,3,1053.5652,-4642.8188,-3589.2536,-35.8925,25.4670,98.01,1.349414,-3.049768,-3.481179,-0.401322
